GIA;Код ОО;Краткое наименование ОО;Вид ОО;Тип ОО;Выпускник;Код предмета;Предмет;Вариант;Часть В;1_Часть В;2_Часть В;3_Часть В;4_Часть В;5_Часть В;6_Часть В;7_Часть В;8_Часть В;9_Часть В;10_Часть В;11_Часть В;12_Часть В;13_Часть В;14_Часть В;15_Часть В;16_Часть В;17_Часть В;18_Часть В;Часть С;1_Часть С;2_Часть С;Часть D;Первичный балл;% Оценка;Оцека по 100;Оцека по 5
1;206093;МОУ СОШ № 16 г. Балашова;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;--+--+++--------++;-;-;+;-;-;+;+;+;-;-;-;-;-;-;-;-;+;+;0(2)0(2);0;0;;6;27;0;3
1;206106;МОУ Лицей г. Балашова;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;--+++-++---+----+-;-;-;+;+;+;-;+;+;-;-;-;+;-;-;-;-;+;-;0(2)0(2);0;0;;7;31;0;3
1;206213;МОУ СОШ п. Первомайский Балашовского района;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;-++-++-++-+++---++;-;+;+;-;+;+;-;+;+;-;+;+;+;-;-;-;+;+;0(2)0(2);0;0;;11;50;0;3
1;208053;"МОУ ""СОШ № 6""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+-+++-+++++++++-++;+;-;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;+;0(2)0(2);0;0;;15;68;0;4
1;201013;МБОУ СОШ № 1 с. Александров-Гай Александрово-Гайского района;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++--++++++---++---;+;+;-;-;+;+;+;+;+;+;-;-;-;+;+;-;-;-;0(2)0(2);0;0;;10;45;0;3
1;201013;МБОУ СОШ № 1 с. Александров-Гай Александрово-Гайского района;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++--+++++++--+-+++;+;+;-;-;+;+;+;+;+;+;+;-;-;+;-;+;+;+;0(2)0(2);0;0;;13;59;0;4
1;201053;МБОУ СОШ с. Новоалександровка имени Героя Советского Союза Ф.Д.Глухова Александрово-Гайского района;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;+++++++++-++++-+++;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;+;+;+;0(2)0(2);0;0;;16;72;0;4
1;202023;МБОУ - СОШ № 2 города Аркадака;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;--++++++-+++-++-++;-;-;+;+;+;+;+;+;-;+;+;+;-;+;+;-;+;+;0(2)0(2);0;0;;13;59;0;4
1;202023;МБОУ - СОШ № 2 города Аркадака;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;--+++-+++----+++++;-;-;+;+;+;-;+;+;+;-;-;-;-;+;+;+;+;+;0(2)1(2);0;1;;12;54;0;4
1;202033;МБОУ - СОШ № 3 города Аркадака;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++-+++++--+--+---+;+;+;-;+;+;+;+;+;-;-;+;-;-;+;-;-;-;+;0(2)2(2);0;2;;12;54;0;4
