GIA;Код ОО;Краткое наименование ОО;Вид ОО;Тип ОО;Выпускник;Код предмета;Предмет;Вариант;Часть В;1_Часть В;2_Часть В;3_Часть В;4_Часть В;5_Часть В;6_Часть В;7_Часть В;8_Часть В;9_Часть В;10_Часть В;11_Часть В;12_Часть В;13_Часть В;14_Часть В;15_Часть В;16_Часть В;17_Часть В;18_Часть В;Часть С;1_Часть С;2_Часть С;Часть D;Первичный балл;% Оценка;Оцека по 100;Оцека по 5
1;246036;"МОУ ""Лицей № 50""";Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+-+++-+++++++++-+-;+;-;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;-;0(2)2(2);0;2;;16;72;0;4
1;246093;"МОУ""СОШ № 61""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++-+++++++++-+-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;-;0(2)1(2);0;1;;16;72;0;4
1;246103;"МОУ ""СОШ № 72""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++++++-+++-----+++;+;+;+;+;+;+;-;+;+;+;-;-;-;-;-;+;+;+;0(2)0(2);0;0;;12;54;0;4
1;246103;"МОУ ""СОШ № 72""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++-+++++-++-++--++;+;+;-;+;+;+;+;+;-;+;+;-;+;+;-;-;+;+;0(2)0(2);0;0;;13;59;0;4
1;246193;"МОУ ""СОШ №103""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;------+-----+---+-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;-;-;+;-;0(2)0(2);0;0;;3;13;0;2
1;247013;"МОУ ""СОШ № 5""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++++++++++-++---++;+;+;+;+;+;+;+;+;+;+;-;+;+;-;-;-;+;+;2(2)2(2);2;2;;18;81;0;5
1;247013;"МОУ ""СОШ № 5""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;+++++-+++---+++-+-;+;+;+;+;+;-;+;+;+;-;-;-;+;+;+;-;+;-;1(2)2(2);1;2;;15;68;0;4
1;247015;"МОУ ""ГИМНАЗИЯ № 5""";Гимназия;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++++++++++-++-+++;+;+;+;+;+;+;+;+;+;+;+;-;+;+;-;+;+;+;0(2)0(2);0;0;;16;72;0;4
1;247016;МБОУ Лицей № 15 Заводского района г. Саратова;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++-++-+++++++++;+;+;+;+;+;-;+;+;-;+;+;+;+;+;+;+;+;+;2(2)2(2);2;2;;20;90;0;5
1;247023;"МБОУ ""СОШ № 23""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;+-+++++++++++++-++;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;0(2)0(2);0;0;;16;72;0;4
1;247023;"МБОУ ""СОШ № 23""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;82730;-+-++++-+++-----+-;-;+;-;+;+;+;+;-;+;+;+;-;-;-;-;-;+;-;0(2)0(2);0;0;;9;40;0;3
1;247026;"МОУ ""Лицей № 53""";Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;-+-++++++-+++++-++;-;+;-;+;+;+;+;+;+;-;+;+;+;+;+;-;+;+;0(2)0(2);0;0;;14;63;0;4
1;247027;"МОУ ""СОШ № 59 с углубленным изучением предметов""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+--+++++----++--+-;+;-;-;+;+;+;+;+;-;-;-;-;+;+;-;-;+;-;0(2)0(2);0;0;;9;40;0;3
1;247043;"МОУ ""СОШ № 40""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;---+++++--+-++--++;-;-;-;+;+;+;+;+;-;-;+;-;+;+;-;-;+;+;0(2)0(2);0;0;;10;45;0;3
1;247043;"МОУ ""СОШ № 40""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++++++++-++-+--+-;+;+;+;+;+;+;+;+;+;-;+;+;-;+;-;-;+;-;1(2)0(2);1;0;;14;63;0;4
1;247044;"МОУ ""ООШ № 78""";Основная общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++++++++++++-++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;0(2)2(2);0;2;;19;86;0;5
1;247053;"МОУ ""СОШ № 43""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;+-+-++++--+-++----;+;-;+;-;+;+;+;+;-;-;+;-;+;+;-;-;-;-;0(2)0(2);0;0;;9;40;0;3
1;247083;"МОУ ""СОШ № 84""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++++++++++-++++-++;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;+;+;2(2)0(2);2;0;;18;81;0;5
1;247083;"МОУ ""СОШ № 84""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++++-+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;+;2(2)1(2);2;1;;19;86;0;5
1;247093;"МОУ ""СОШ № 106""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++++++++++-+++--++;+;+;+;+;+;+;+;+;+;+;-;+;+;+;-;-;+;+;0(2)0(2);0;0;;15;68;0;4
1;247103;"МОУ ""СОШ № 22""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;-+++--++----------;-;+;+;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;0(2)0(2);0;0;;5;22;0;3
1;248013;"МОУ ""СОШ ЗАТО Михайловский""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++++++++-+++++-++;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;-;+;+;2(2)2(2);2;2;;20;90;0;5
1;224043;"МБОУ ""СОШ п. Молодежный""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;+-++++++-+------++;+;-;+;+;+;+;+;+;-;+;-;-;-;-;-;-;+;+;0(2)0(2);0;0;;10;45;0;3
1;226023;"МОУ ""СОШ с. Мироновка Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++++++++--+++++;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;0(2)0(2);0;0;;16;72;0;4
1;226073;"МОУ ""СОШ с. Малый Узень Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++--+-+++----++-+;+;+;+;-;-;+;-;+;+;+;-;-;-;-;+;+;-;+;0(2)0(2);0;0;;10;45;0;3
1;227033;"МОУ ""СОШ № 3 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;++++++++++++-++-++;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;-;+;+;0(2)2(2);0;2;;18;81;0;5
1;227033;"МОУ ""СОШ № 3 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;+++++-++++++++++++;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;2(2)2(2);2;2;;21;95;0;5
1;227043;"МОУ ""СОШ № 5 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++++++++++---+++-+;+;+;+;+;+;+;+;+;+;+;-;-;-;+;+;+;-;+;0(2)0(2);0;0;;14;63;0;4
1;227043;"МОУ ""СОШ № 5 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;++-+-++++-----++--;+;+;-;+;-;+;+;+;+;-;-;-;-;-;+;+;-;-;0(2)0(2);0;0;;9;40;0;3
1;227043;"МОУ ""СОШ № 5 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++++++++++-+-+++++;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+;+;+;0(2)2(2);0;2;;18;81;0;5
1;227053;"МОУ ""СОШ № 13 г. Пугачева имени М.В.Ломоносова""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;+++++++++--+++--++;+;+;+;+;+;+;+;+;+;-;-;+;+;+;-;-;+;+;2(2)2(2);2;2;;18;81;0;5
1;227083;"МОУ ""СОШ с. Давыдовка""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;+-++-+-+-+---++-++;+;-;+;+;-;+;-;+;-;+;-;-;-;+;+;-;+;+;0(2)2(2);0;2;;12;54;0;4
1;227123;"МОУ ""СОШ с. Клинцовка""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации, не завершивший основное общее образование в предыдущие годы;5;Информатика;74810;+---++++-----+--++;+;-;-;-;+;+;+;+;-;-;-;-;-;+;-;-;+;+;0(2)0(2);0;0;;8;36;0;3
1;227173;"МОУ ""СОШ с. Старая Порубёжка им. И.И. Лободина""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;+-+-+++++-++++++++;+;-;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;1(2)0(2);1;0;;16;72;0;4
1;227173;"МОУ ""СОШ с. Старая Порубёжка им. И.И. Лободина""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;-+---+-+++-+-+--++;-;+;-;-;-;+;-;+;+;+;-;+;-;+;-;-;+;+;0(2)2(2);0;2;;11;50;0;3
1;228013;МБОУ СОШ р.п. Ровное;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;------------------;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0(2)0(2);0;0;;0;0;0;2
1;230016;"МОУ ""Лицей № 3 им. П.А. Столыпина г. Ртищево Саратовской области""";Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++++++++++-+-++++;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+;+;2(2)2(2);2;2;;20;90;0;5
1;230053;"МОУ ""СОШ № 7 г. Ртищево Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++-++++++++++++;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;2(2)0(2);2;0;;19;86;0;5
1;230053;"МОУ ""СОШ № 7 г. Ртищево Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;-++++-+++++--+---+;-;+;+;+;+;-;+;+;+;+;+;-;-;+;-;-;-;+;0(2)0(2);0;0;;11;50;0;3
1;230053;"МОУ ""СОШ № 7 г. Ртищево Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++++--------+---++;+;+;+;+;-;-;-;-;-;-;-;-;+;-;-;-;+;+;0(2)0(2);0;0;;7;31;0;3
1;233013;МБОУ-СОШ № 1 р.п. Степное Советского района Саратовской области;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;--+-++++--+++++-++;-;-;+;-;+;+;+;+;-;-;+;+;+;+;+;-;+;+;0(2)1(2);0;1;;13;59;0;4
1;234016;"МОУ ""Татищевский лицей""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;+++-++++++++++++++;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;2(2)2(2);2;2;;21;95;0;5
1;234016;"МОУ ""Татищевский лицей""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+--++-+----+++--+-;+;-;-;+;+;-;+;-;-;-;-;+;+;+;-;-;+;-;0(2)0(2);0;0;;8;36;0;3
1;235024;МОУ ООШ с. Трубетчино;Основная общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++++++++-++-+--++-;+;+;+;+;+;+;+;+;-;+;+;-;+;-;-;+;+;-;1(2)0(2);1;0;;14;63;0;4
1;227013;"МОУ ""СОШ № 1 г. Пугачева имени Т.Г. Мазура""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;++++-+-+++++-+++-+;+;+;+;+;-;+;-;+;+;+;+;+;-;+;+;+;-;+;0(2)0(2);0;0;;14;63;0;4
1;227013;"МОУ ""СОШ № 1 г. Пугачева имени Т.Г. Мазура""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++-+++++----+-+++;+;+;+;-;+;+;+;+;+;-;-;-;-;+;-;+;+;+;0(2)0(2);0;0;;12;54;0;4
1;227023;"МОУ ""СОШ № 2 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++++++++-++-+--++;+;+;+;+;+;+;+;+;+;-;+;+;-;+;-;-;+;+;0(2)0(2);0;0;;14;63;0;4
1;227053;"МОУ ""СОШ № 13 г. Пугачева имени М.В.Ломоносова""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;-++-++-++-++++--++;-;+;+;-;+;+;-;+;+;-;+;+;+;+;-;-;+;+;0(2)2(2);0;2;;14;63;0;4
1;227053;"МОУ ""СОШ № 13 г. Пугачева имени М.В.Ломоносова""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;++-++-++-------+-+;+;+;-;+;+;-;+;+;-;-;-;-;-;-;-;+;-;+;0(2)0(2);0;0;;8;36;0;3
1;227053;"МОУ ""СОШ № 13 г. Пугачева имени М.В.Ломоносова""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;+-++++++++++-++++-;+;-;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;2(2)2(2);2;2;;19;86;0;5
1;232043;"МОУ ""СОШ п. Дубки""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;-+----------+-----;-;+;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;0(2)0(2);0;0;;2;9;0;2
1;233023;МАОУ-СОШ с. Золотая Степь Советского района Саратовской области;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++-+++-+++++-+-;+;+;+;+;+;-;+;+;+;-;+;+;+;+;+;-;+;-;0(2)0(2);0;0;;14;63;0;4
1;234033;"МОУ ""СОШ с. Октябрьский Городок""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++++++++-++-+++-++;+;+;+;+;+;+;+;+;-;+;+;-;+;+;+;-;+;+;1(2)1(2);1;1;;17;77;0;4
1;235063;МОУ СОШ имени С.М. Иванова р.п. Турки;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++-++++++++-++-+++;+;+;-;+;+;+;+;+;+;+;+;-;+;+;-;+;+;+;1(2)2(2);1;2;;18;81;0;5
1;235074;МОУ ООШ р. п. Турки;Основная общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++++++++++++++-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;2(2)2(2);2;2;;21;95;0;5
1;235074;МОУ ООШ р. п. Турки;Основная общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++++-+-++-+-+--+-;+;+;+;+;+;-;+;-;+;+;-;+;-;+;-;-;+;-;1(2)2(2);1;2;;14;63;0;4
1;236013;МОУ СОШ № 1 р.п. Мокроус;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;+++-++++++++-++++-;+;+;+;-;+;+;+;+;+;+;+;+;-;+;+;+;+;-;0(2)0(2);0;0;;15;68;0;4
1;236023;МОУ СОШ № 2 р.п. Мокроус;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;++++--+++-++++++++;+;+;+;+;-;-;+;+;+;-;+;+;+;+;+;+;+;+;0(2)0(2);0;0;;15;68;0;4
1;236024;МОУ ООШ с. Калдино;Основная общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++++++-++++--+-;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;-;+;-;0(2)2(2);0;2;;16;72;0;4
1;237013;МОУ СОШ № 1;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;+-+--+-+-------+--;+;-;+;-;-;+;-;+;-;-;-;-;-;-;-;+;-;-;0(2)0(2);0;0;;5;22;0;3
1;237023;МОУ СОШ № 2 г. Хвалынск;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;-+++-+++--+--+--++;-;+;+;+;-;+;+;+;-;-;+;-;-;+;-;-;+;+;0(2)0(2);0;0;;10;45;0;3
1;237033;МОУ СОШ №3 г. Хвалынска;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;++++++++-+-+++++++;+;+;+;+;+;+;+;+;-;+;-;+;+;+;+;+;+;+;0(2)0(2);0;0;;16;72;0;4
1;237033;МОУ СОШ №3 г. Хвалынска;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++-++++++--+-+--+-;+;+;-;+;+;+;+;+;+;-;-;+;-;+;-;-;+;-;0(2)2(2);0;2;;13;59;0;4
1;238013;"МБОУ ""СОШ № 1""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;-+++++++--+-+---++;-;+;+;+;+;+;+;+;-;-;+;-;+;-;-;-;+;+;0(2)0(2);0;0;;11;50;0;3
1;238017;"МОУ ""СОШ № 15""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++++++++++-+++-++;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;-;+;+;0(2)2(2);0;2;;18;81;0;5
1;238017;"МОУ ""СОШ № 15""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;+++-++++++++-+-++-;+;+;+;-;+;+;+;+;+;+;+;+;-;+;-;+;+;-;0(2)0(2);0;0;;14;63;0;4
1;220073;МОУ - СОШ с. Зоркино Марксовского района;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;+++++++++++++++-++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;1(2)2(2);1;2;;20;90;0;5
1;220163;МОУ - СОШ с. Подлесное Марксовского р - на;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;+-+++--+---+-+-++-;+;-;+;+;+;-;-;+;-;-;-;+;-;+;-;+;+;-;1(2)2(2);1;2;;12;54;0;4
1;220193;МОУ - СОШ с. Раскатово Марксовского района;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++--+--++-----+-+;+;+;+;-;-;+;-;-;+;+;-;-;-;-;-;+;-;+;0(2)0(2);0;0;;8;36;0;3
1;225013;"МОУ ""СОШ № 1""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;--+--++++-++-+--+-;-;-;+;-;-;+;+;+;+;-;+;+;-;+;-;-;+;-;0(2)2(2);0;2;;11;50;0;3
1;225033;МОУ СОШ № 3;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++++++++++++++-+++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;2(2)2(2);2;2;;21;95;0;5
1;225043;"МБОУ ""СОШ № 8 г. Петровска""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++++++++++++++++-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;2(2)2(2);2;2;;21;95;0;5
1;226023;"МОУ ""СОШ с. Мироновка Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++---+++++-----+--;+;+;-;-;-;+;+;+;+;+;-;-;-;-;-;+;-;-;0(2)0(2);0;0;;8;36;0;3
1;227013;"МОУ ""СОШ № 1 г. Пугачева имени Т.Г. Мазура""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;++--+-++++++++-+-+;+;+;-;-;+;-;+;+;+;+;+;+;+;+;-;+;-;+;0(2)0(2);0;0;;13;59;0;4
1;227013;"МОУ ""СОШ № 1 г. Пугачева имени Т.Г. Мазура""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++++++++++++++-++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;0(2)2(2);0;2;;19;86;0;5
1;227023;"МОУ ""СОШ № 2 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;83584;-++++-++--+--+--++;-;+;+;+;+;-;+;+;-;-;+;-;-;+;-;-;+;+;0(2)0(2);0;0;;10;45;0;3
1;227033;"МОУ ""СОШ № 3 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;-++-+-++--+++--++-;-;+;+;-;+;-;+;+;-;-;+;+;+;-;-;+;+;-;0(2)0(2);0;0;;10;45;0;3
1;227043;"МОУ ""СОШ № 5 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++-++++++++-+--++;+;+;+;-;+;+;+;+;+;+;+;+;-;+;-;-;+;+;0(2)2(2);0;2;;16;72;0;4
1;227043;"МОУ ""СОШ № 5 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++-+++--++-+---++-;+;+;-;+;+;+;-;-;+;+;-;+;-;-;-;+;+;-;0(2)0(2);0;0;;10;45;0;3
1;227043;"МОУ ""СОШ № 5 г. Пугачева""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++++-+++++++++-++;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;+;0(2)0(2);0;0;;16;72;0;4
1;227053;"МОУ ""СОШ № 13 г. Пугачева имени М.В.Ломоносова""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;++++++++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0(2)2(2);0;2;;20;90;0;5
1;227083;"МОУ ""СОШ с. Давыдовка""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;-+--++++++++++--++;-;+;-;-;+;+;+;+;+;+;+;+;+;+;-;-;+;+;0(2)2(2);0;2;;15;68;0;4
1;227093;"МОУ ""СОШ п. Заволжский""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++--++-+++----++--;+;+;-;-;+;+;-;+;+;+;-;-;-;-;+;+;-;-;0(2)0(2);0;0;;9;40;0;3
1;227143;"МОУ ""СОШ с. Преображенка""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;++-++++++-+-++-++-;+;+;-;+;+;+;+;+;+;-;+;-;+;+;-;+;+;-;0(2)0(2);0;0;;13;59;0;4
1;228013;МБОУ СОШ р.п. Ровное;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++--+++-+-++-+--+-;+;+;-;-;+;+;+;-;+;-;+;+;-;+;-;-;+;-;0(2)0(2);0;0;;10;45;0;3
1;228013;МБОУ СОШ р.п. Ровное;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;83584;---+--+-----------;-;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;0(2)0(2);0;0;;2;9;0;2
1;230033;"МОУ ""СОШ № 4 г. Ртищево Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;++++++++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;2(2)1(2);2;1;;21;95;0;5
1;232053;"МОУ"" СОШ с. Клещевка""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++++-++++++++--++;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;-;+;+;0(2)0(2);0;0;;15;68;0;4
